# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# All columns are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457. The branching ratios
# and Q values are those of the RTYP=4 (alpha) and RTYP=1 (beta-minus) decay modes; spontaneous
# fission branches, which reach 5e-07 for U-238 and are far smaller for the other actinides here,
# have no column and are dropped so that the two ratios still sum to one.
# E_alpha is the average of the tabulated alpha spectrum, and E_gamma the average decay energy
# EEM (gamma rays and X-rays). Both are averaged over one decay of the parent summed over its
# branches, so E_alpha carries the alpha branching ratio, which the reader divides back out.
# E_beta is the average of the beta continuum, likewise per decay of the parent, and matches the
# E_elec column of betaminusdecays.txt for every nuclide listed in both files.
# An all-zero row is a nuclide with no alpha branch this file can represent: the stable Pb-207
# and Pb-208, and the beta-minus emitters Pb-210 and Ra-228, whose decay data betaminusdecays.txt
# supplies (Pb-210 also has a 2e-08 alpha branch that the six-digit Q column cannot resolve).
#
# A, Z, branch_alpha, branch_beta, halflife[s], Q_total_alphadec[MeV], Q_total_betadec[MeV], E_alpha[MeV], E_gamma[MeV], E_beta[MeV]
# 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
209 80 0 1 36.5 0 5.292 0 1.764 1.764
209 81 0 1 132 0 3.977 0 2.14212 0.682586
209 82 0 1 11710.8 0 0.644 0 0 0.19735
209 83 1 0 5.99594e+26 3.1373 0 3.07569 0 0
210 80 0 1 146 0 3.88 0 1.293 1.293
210 81 0 1 78 0 5.482 0 2.50097 1.29359
210 82 0 0 0 0 0 0 0 0
210 84 1 0 1.19557e+07 5.40745 0 5.30438 8.27797e-06 0
211 81 0 1 60 0 4.55 0 1.516 1.516
211 82 0 1 2166 0 1.367 0 0.0637234 0.449446
211 83 0.99724 0.00276 128.4 6.7503 0.574 6.54883 0.0476616 0.000477204
211 84 1 0 5.160000e-1 7.594500 0 7.44248 0.00802877 0
207 81 0 1 286.2 0 1.418 0 0.00238058 0.491638
207 82 0 0 0 0 0 0 0 0
212 81 0 1 67 0 6.1 0 2.033 2.033
212 82 0 1 38304 0 0.5699 0 0.143338 0.171098
212 83 0.3594 0.6406 3633 6.20726 2.2521 2.17534 0.104014 0.493917
212 84 1 0 2.99e-07 8.95412 0 8.78486 0 0
208 81 0 1 183.18000000000001 0 4.999 0 3.38063 0.596052
208 82 0 0 0 0 0 0 0 0
213 82 0 1 612 0 2.04634 0 0.682112 0.682112
213 83 0.022 0.978 2735.4 5.982 1.423 0.122167 0.126536 0.423969
213 84 1 0 4.2e-06 8.537 0 8.37627 3.73824e-05 0
214 82 0 1 1608 0 1.019 0 0.239279 0.28657
214 83 0.00021 0.99979 1194 5.6168 3.27 0.00114686 1.47569 0.640015
214 84 1 0 0.0001643 7.83346 0 7.68673 8.30172e-05 0
215 82 0 1 36 0 2.9 0 0.967 0.967
215 83 0 1 462 0 2.189 0 0.109564 0.761886
215 84 0.999998 2.3e-06 0.001781 7.5263 0.715 7.38779 0.000300216 0
215 85 1 0 0.0001 8.178 0 8.02579 0.000175146 0
216 83 0 1 135 0 4.0901 0 1.36337 1.36337
216 84 1 0 0.145 6.9063 0 6.77828 1.53051e-05 0
217 83 0 1 98.5 0 2.92 0 0.973333 0.973333
217 84 1 0 1.53 6.66022 0 6.53745 0 0
218 83 0 1 33 0 4.819 0 1.29654 1.40426
218 84 0.9998 0.0002 185.88 6.11468 0.26 6.00114 9.11475e-06 1.434e-05
218 85 0.999 0.001 1.5 6.874 2.881 6.68601 0.0563646 0.0010948
218 86 1 0 0.035 7.2625 0 7.12823 0.0007571 0
219 84 0 1 3e-07 0 2.405 0 0.801667 0.801667
219 85 0.97 0.03 56 6.324 1.566 6.02176 0 0.01641
219 86 1 0 3.96 6.9461 0 6.75462 0.0581282 0
220 84 0 1 3e-07 0 1.113 0 0.371 0.371
220 85 0.08 0.92 222.6 6.05 3.74 0.47544 0.37246 1.16784
220 86 1 0 55.6 6.40467 0 6.28746 0.000628383 0
221 85 0 1 138 0 2.341 0 0.780333 0.780333
221 86 0.22 0.78 1542 6.148 1.194 1.19778 0.119542 0.250127
221 87 1 0 294 6.4576 0 6.3563 0.0285743 0
217 85 0.99993 7e-05 0.0323 7.2013 0.737 7.06347 0.000210109 1.6044e-05
217 86 1 0 0.00054 7.887 0 7.741 0 0
222 85 0 1 54 0 4.427 0 1.47567 1.47567
222 86 1 0 330350 5.5903 0 5.489 0.000388921 0
223 85 0 1 50 0 3.167 0 1.05567 1.05567
223 86 0 1 1458 0 2.012 0 0.309341 0.600271
223 87 6e-05 0.99994 1320 5.562 1.1492 0.00032772 0.0486983 0.345553
223 88 1 0 987552 5.9793 0 5.66527 0.133561 0
224 86 0 1 6420 0 0.783 0 0.261 0.261
224 87 0 1 199.8 0 2.83 0 0.533395 0.875469
224 88 1 0 316224 5.78887 0 5.67316 0.0103885 0
225 86 0 1 279.6 0 2.74 0 0.57197 0.827666
225 87 0 1 237 0 1.82 0 0.606667 0.606667
225 88 0 1 1.28736e+06 0 0.357 0 0.0139838 0.104415
225 89 1 0 864000 5.9351 0 5.77582 0.0153704 0
226 86 0 1 444 0 1.401 0 0.467 0.467
226 87 0 1 49 0 3.671 0 0.434046 1.21919
226 88 1 0 5.04922e+10 4.87063 0 4.7745 0.00729398 0
227 86 0 1 20.8 0 3.326 0 1.10867 1.10867
227 87 0 1 148.2 0 2.477 0 0.434961 0.76564
227 88 0 1 2532 0 1.3273 0 0.137906 0.435577
227 89 1.3800000000000000E-02 9.8619999999999997E-01 6.87072e+08 5.042 4.4800000000000000E-02 0.0702626 0.000672789 0.00979906
227 90 1 0 1.61395e+06 6.14643 0 5.90113 0.161945 0
228 86 0 1 65 0 2.102 0 0.700667 0.700667
228 87 0 1 38 0 4.34 0 0.669614 1.43293
228 88 0 0 0 0 0 0 0 0
228 90 1 0 6.03381e+07 5.52012 0 5.40368 0.00351276 0
229 87 0 1 50.2 0 3.26 0 0.559859 0.962014
229 88 0 1 240 0 1.81 0 0 0.6268
229 89 0 1 3762 0 1.16 0 0.0591037 0.372331
229 90 1 0 2.31633e+11 5.1681 0 4.91952 0.103832 0
230 87 0 1 19.1 0 4.987 0 0.859368 1.73871
230 88 0 1 5580 0 0.71 0 0.236667 0.236667
230 89 0 1 122 0 2.9 0 0.509428 0.885246
230 90 1 0 2.37881e+12 4.77 0 4.66413 0.0013228 0
231 87 0 1 17.6 0 3.9 0 0.447638 1.36868
231 88 0 1 103 0 2.479 0 0.826333 0.826333
231 89 0 1 450 0 2.1 0 0.413199 0.625488
231 90 0 1 91872 0 0.3907 0 0.0234379 0.141865
231 91 1 0 1.03383e+12 5.1499 0 4.92369 0.0396871 0
232 87 0 1 5.5 0 5.604 0 0.236743 2.27016
232 88 0 1 252 0 1.5 0 0.5 0.5
232 89 0 1 119 0 3.7 0 1.14883 0.942433
232 90 1 0 4.43384e+17 4.0828 0 3.99679 0.00137233 0
233 88 0 1 30 0 3.269 0 1.08967 1.08967
233 89 0 1 145 0 2.8 0 0.498584 0.836217
233 90 0 1 1338 0 1.2431 0 0.036983 0.419169
233 91 0 1 2.33064e+06 0 0.5701 0 0.217564 0.196993
233 92 1 0 5.02397e+12 4.9085 0 4.80585 0.00111022 0
234 88 0 1 30 0 2.128 0 0.709333 0.709333
234 89 0 1 44 0 4.489 0 1.49633 1.49633
234 90 0 1 2.08224e+06 0 0.199 0 0.00757241 0.0589477
234 91 0 1 24120 0 2.194 0 1.48204 0.427426
234 92 1 0 7.74739e+12 4.8577 0 4.75943 0.00183315 0
235 89 0 1 60 0 3.467 0 1.15567 1.15567
235 90 0 1 426 0 1.92 0 0.0523766 0.662814
235 91 0 1 1466.4 0 1.41 0 0.47 0.47
235 92 1 0 2.22102e+16 4.6787 0 4.33946 0.164169 0
236 89 0 1 120 0 4.81 0 1.60333 1.60333
236 90 0 1 2238 0 1.1 0 0.0325329 0.340987
236 91 0 1 546 0 2.9 0 0.80316 0.792561
236 92 1 0 7.39079e+14 4.5731 0 4.47433 0.00159239 0
237 90 0 1 282 0 2.56 0 0.853333 0.853333
237 91 0 1 522 0 2.25 0 0.607632 0.570912
237 92 0 1 583200 0 0.5186 0 0.135271 0.173087
237 93 1 0 6.76595e+13 4.9583 0 4.78562 0.0321244 0
238 90 0 1 564 0 1.856 0 0.618667 0.618667
238 91 0 1 136.2 0 3.46 0 1.15333 1.15333
238 92 1 0 1.40999e+17 4.2697 0 4.18713 0.00128174 0
