# Data source: Evaluated Nuclear Data File library (ENDF/B-VII.1; Chadwick et al. 2011)
# Nuclide selection originally from Hotokezaka et al. https://github.com/hotokezaka/HeatingRate
#
# Q, E_gamma, E_elec and meanlife are taken from the ENDF/B-VII.1 decay sublibrary, MF=8/MT=457.
# Q is the branching-ratio-weighted sum of the mode Q values, so it covers every decay branch of
# the nuclide including the beta-delayed neutron ones. E_gamma and E_elec are the tabulated
# average decay energies EEM (all electromagnetic radiation: gamma rays and X-rays) and ELP (all
# light particles: continuum betas plus conversion and Auger electrons), both averaged over one
# decay of the parent summed over its branches. They are not the averages of the tabulated
# spectra, which omit the X-ray and discrete-electron components and are absent altogether for
# the nuclides that ENDF evaluates from systematics.
# E_neutrino is the balance Q - EEM - ELP - EHP and is not read by ARTIS.
# One deviation from ENDF: Ta-188 uses the ENSDF half-life of 19.6(20) s rather than the 20 s
# ENDF rounds it to. ENDF assigns its parent Hf-188, which has no adopted ENSDF half-life, the
# same estimated 20 s, and two nuclides of one decay chain sharing a decay constant makes the
# Bateman solution singular.
# For a nuclide that alphadecays.txt gives a beta-minus branching ratio below one, E_elec is
# instead the average of the beta continuum alone, because the reader divides this column by that
# branching ratio and the discrete electrons of ELP are summed over all branches.
#
# A, Z, Q[MeV], E_gamma[MeV], E_elec[MeV], E_neutrino[MeV], meanlife[s]
50 19 12.1157 3.84849 3.84849 3.84845 0.680952
50 20 4.71 1.56899 1.34731 1.79369 20.0535
50 21 6.89 3.19199 1.63795 2.06006 147.876
51 19 12.0478 3.64394 3.64394 3.64391 0.526584
51 20 7.355 2.69088 2.18332 2.4808 14.427
51 21 6.51 2.35004 1.84189 2.31807 17.8894
51 22 2.4735 0.369165 0.869473 1.23486 498.595
52 19 12.9144 3.59955 3.59955 3.59957 0.151483
52 20 7.74321 2.57667 2.57667 2.57668 6.6364
52 21 9.11 2.89282 2.86416 3.35302 11.8301
52 22 1.976 0.127975 0.756569 1.09146 147.155
52 23 3.9756 1.44484 1.06883 1.46194 324
53 21 9.291 3.097 3.097 3.097 4.32809
53 22 5.02 1.96239 1.34977 1.70784 47.1761
53 23 3.436 1.03816 1.00904 1.3888 133.565
54 21 11.921 3.97367 3.97367 3.97367 0.51937
54 22 4.29769 1.43256 1.43256 1.43256 2.16404
54 23 7.042 4.10746 1.46919 1.46535 71.8462
55 21 12.0898 4.02992 4.02992 4.02996 0.151483
55 22 7.48 0.826361 3.07199 3.58165 1.8755
55 23 5.98 0.689188 2.38243 2.90839 9.43523
55 24 2.6031 0.000673 1.10099 1.50143 302.706
56 22 7.14332 2.38111 2.38111 2.3811 0.288539
56 23 9.20114 3.06705 3.06705 3.06705 0.311622
56 24 1.6284 0.0914352 0.613209 0.923756 514.177
56 25 3.6955 1.69158 0.83106 1.17286 13394
57 23 8.33327 2.77766 2.77766 2.77765 0.504943
57 24 4.963 0.462213 2.03024 2.47054 30.4409
57 25 2.6933 0.0995277 1.10529 1.48848 123.206
58 23 11.626 3.87533 3.87533 3.87534 0.266899
58 24 3.99279 1.33093 1.33093 1.33093 10.0989
58 25 6.25 0.0568832 2.81207 3.38105 4.32809
59 24 7.63378 2.54459 2.54459 2.54459 0.66364
59 25 5.185 0.537885 2.05982 2.5873 6.62197
59 26 1.5652 1.18827 0.117739 0.259191 5.54625e+06
60 24 6.46401 2.15467 2.15467 2.15467 0.706921
60 25 8.23 0 3.834 4.396 73.5774
60 26 0.1784 0 0.05018 0.12822 6.8292e+13
60 27 2.8239 2.50384 0.0967691 0.223287 2.39984e+08
61 24 9.56141 3.18714 3.18714 3.18713 0.389528
61 25 7.36 0.130289 3.34566 3.88405 0.966606
61 26 3.978 1.391 1.12442 1.46259 517.639
61 27 1.3227 0.0969558 0.466955 0.758789 8569.61
62 24 7.76634 2.58878 2.58878 2.58878 0.274112
62 25 10.86 3.20242 3.66061 3.99697 0.968048
62 26 2.531 0.505723 0.826377 1.1989 98.1033
62 27 5.315 1.60026 1.63661 2.07813 129.843
63 24 11.257 3.75233 3.75233 3.75233 0.186108
63 25 8.74863 2.91621 2.91621 2.91621 0.418382
63 26 6.29 0.259466 2.76015 3.27039 8.80044
63 27 3.672 0.14403 1.56728 1.96069 39.5298
63 28 0.066945 0 0.017425 0.04952 4.60743e+09
64 26 5.02 0.046756 2.2375 2.73574 2.88539
64 27 7.307 0.181165 3.28847 3.83737 0.432809
65 26 8.29 1.70066 3.0417 3.54764 1.16858
65 27 5.956 0.0920571 2.68026 3.18369 1.67353
65 28 2.1379 0.558294 0.628029 0.951577 13073.5
66 26 6.34069 2.11356 2.11356 2.11356 0.634786
66 27 9.89 2.44813 3.44228 3.99959 0.288539
66 28 0.2519 0 0.07333 0.17857 283576
