28  108
#Z  K  L1  L2  L3  M1  M2  M3  M4  M5  N1  N2  N3  N4  N5  N6  N7  O1  O2  O3  O4  O5  O6  O7  P1  P2  P3  P4  Q1
1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
5  2  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
6  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
7  2  2  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
8  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
9  2  2  2  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
10  2  2  2  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
11  2  2  2  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
12  2  2  2  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
13  2  2  2  4  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
14  2  2  2  4  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
15  2  2  2  4  2  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
16  2  2  2  4  2  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
17  2  2  2  4  2  2  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
18  2  2  2  4  2  2  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
19  2  2  2  4  2  2  4  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
20  2  2  2  4  2  2  4  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
21  2  2  2  4  2  2  4  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
22  2  2  2  4  2  2  4  2  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
23  2  2  2  4  2  2  4  3  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
24  2  2  2  4  2  2  4  4  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
25  2  2  2  4  2  2  4  4  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
26  2  2  2  4  2  2  4  4  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
27  2  2  2  4  2  2  4  4  3  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
28  2  2  2  4  2  2  4  4  4  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
29  2  2  2  4  2  2  4  4  6  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
30  2  2  2  4  2  2  4  4  6  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
