#first line: Z and A for the parent nucleus
# second line :(average neutron emission number)  (following lines X for this parent nucleus)  (average Q value for this fission in MeV)
#from third line:
#X lines  and each of which : daughter nucleus A and Z, Probability before neutron emission(you probably don't need), final Probability for this daughter nucleus to occur.
         98     254
                          4.487780000000001	532	217.32506
 70   29       0.000000           0.001000
 71   28       0.001000           0.001000
 71   29       0.001000           0.000000
 73   29       0.001000           0.001000
 76   30       0.001000           0.001000
 77   31       0.000000           0.001000
 78   31       0.001000           0.000000
 78   32       0.001000           0.003000
 79   31       0.001000           0.001000
 79   32       0.002000           0.003000
 80   31       0.003000           0.003000
 80   32       0.007000           0.006000
 80   33       0.000000           0.004000
 81   32       0.007000           0.012000
 81   33       0.005000           0.009000
 82   32       0.012000           0.011000
 82   33       0.007000           0.017000
 82   34       0.000000           0.004000
 83   32       0.007000           0.004000
 83   33       0.042000           0.044000
 83   34       0.008000           0.018000
 84   32       0.004000           0.002000
 84   33       0.031000           0.024000
 84   34       0.024000           0.071000
 84   35       0.000000           0.003000
 85   32       0.001000           0.000000
 85   33       0.022000           0.014000
 85   34       0.063000           0.094000
 85   35       0.006000           0.028000
 85   36       0.000000           0.001000
 86   33       0.008000           0.005000
 86   34       0.115000           0.119000
 86   35       0.023000           0.078000
 86   36       0.001000           0.006000
 87   33       0.003000           0.002000
 87   34       0.107000           0.071000
 87   35       0.103000           0.172000
 87   36       0.004000           0.032000
 88   33       0.001000           0.000000
 88   34       0.069000           0.034000
 88   35       0.172000           0.214000
 88   36       0.028000           0.130000
 88   37       0.001000           0.002000
 89   34       0.027000           0.009000
 89   35       0.244000           0.185000
 89   36       0.124000           0.342000
 89   37       0.002000           0.025000
 90   34       0.008000           0.001000
 90   35       0.155000           0.093000
 90   36       0.370000           0.496000
 90   37       0.015000           0.110000
 90   38       0.000000           0.002000
 91   35       0.095000           0.045000
 91   36       0.463000           0.416000
 91   37       0.112000           0.341000
 91   38       0.001000           0.026000
 92   35       0.023000           0.007000
 92   36       0.473000           0.325000
 92   37       0.312000           0.632000
 92   38       0.013000           0.106000
 93   35       0.005000           0.002000
 93   36       0.265000           0.103000
 93   37       0.651000           0.807000
 93   38       0.069000           0.391000
 93   39       0.000000           0.013000
 94   35       0.001000           0.000000
 94   36       0.126000           0.038000
 94   37       0.767999           0.545000
 94   38       0.325000           0.921000
 94   39       0.002000           0.055000
 94   40       0.000000           0.003000
 95   36       0.029000           0.007000
 95   37       0.605000           0.327000
 95   38       0.672000           1.074000
 95   39       0.036000           0.272000
 95   40       0.001000           0.006000
 96   36       0.014000           0.004000
 96   37       0.327000           0.124000
 96   38       1.219999           1.177000
 96   39       0.123000           0.664000
 96   40       0.001000           0.051000
 97   36       0.003000           0.000000
 97   37       0.136000           0.050000
 97   38       1.165999           0.710000
 97   39       0.561000           1.246000
 97   40       0.009000           0.210000
 97   41       0.000000           0.003000
 98   37       0.033000           0.007000
 98   38       0.891999           0.356000
 98   39       0.982999           1.325999
 98   40       0.103000           0.726000
 98   41       0.000000           0.014000
 99   37       0.008000           0.001000
 99   38       0.399000           0.114000
 99   39       1.630999           1.286000
 99   40       0.321000           1.198000
 99   41       0.002000           0.130000
 99   42       0.000000           0.002000
100   37       0.001000           0.000000
100   38       0.123000           0.028000
100   39       1.289999           0.723000
100   40       1.035999           1.949999
100   41       0.020000           0.351000
100   42       0.000000           0.014000
101   38       0.022000           0.003000
101   39       0.896999           0.330000
101   40       1.625999           1.863999
101   41       0.157000           0.979000
101   42       0.001000           0.047000
102   38       0.007000           0.001000
102   39       0.373000           0.076000
102   40       2.159998           1.416000
102   41       0.527000           1.769999
102   42       0.006000           0.296000
102   43       0.000000           0.004000
103   39       0.097000           0.020000
103   40       1.605999           0.563000
103   41       1.363999           2.386999
103   42       0.050000           0.813000
103   43       0.000000           0.031000
104   39       0.018000           0.001000
104   40       0.999999           0.226000
104   41       2.030998           1.838999
104   42       0.315000           1.978999
104   43       0.002000           0.136000
104   44       0.000000           0.003000
105   39       0.001000           0.000000
105   40       0.320000           0.048000
105   41       2.487998           1.224000
105   42       0.909999           2.501999
105   43       0.019000           0.533000
105   44       0.000000           0.016000
106   40       0.073000           0.008000
106   41       1.613999           0.467000
106   42       2.064999           2.761999
106   43       0.099000           1.254000
106   44       0.000000           0.121000
106   45       0.000000           0.001000
107   40       0.013000           0.001000
107   41       0.857999           0.157000
107   42       2.776998           1.733999
107   43       0.463000           2.404999
107   44       0.007000           0.383000
107   45       0.000000           0.006000
108   40       0.001000           0.000000
108   41       0.233000           0.024000
108   42       2.787998           0.965000
108   43       1.245999           2.639999
108   44       0.038000           1.089000
108   45       0.000000           0.029000
108   46       0.000000           0.001000
109   41       0.049000           0.004000
109   42       1.715999           0.268000
109   43       2.561998           2.453999
109   44       0.211000           1.866999
109   45       0.003000           0.185000
109   46       0.000000           0.001000
110   41       0.007000           0.001000
110   42       0.662000           0.088000
110   43       2.995998           1.376000
110   44       0.767999           2.797999
110   45       0.006000           0.575000
110   46       0.000000           0.028000
111   42       0.160000           0.011000
111   43       2.520998           0.641000
111   44       1.856999           2.421999
111   45       0.055000           1.429000
111   46       0.000000           0.133000
112   42       0.029000           0.000000
112   43       1.288999           0.184000
112   44       2.816998           1.911999
112   45       0.306000           1.977999
112   46       0.002000           0.429000
112   47       0.000000           0.007000
113   42       0.002000           0.001000
113   43       0.398000           0.033000
113   44       2.901998           0.825000
113   45       0.994999           2.614999
113   46       0.021000           0.981000
113   47       0.000000           0.045000
114   42       0.001000           0.000000
114   43       0.091000           0.006000
114   44       2.050998           0.370000
114   45       2.034999           1.991999
114   46       0.106000           1.900999
114   47       0.000000           0.171000
114   48       0.000000           0.004000
115   43       0.011000           0.000000
115   44       0.914999           0.084000
115   45       2.821998           1.259000
115   46       0.495000           2.086999
115   47       0.005000           0.519000
115   48       0.000000           0.019000
116   44       0.283000           0.019000
116   45       2.431998           0.452000
116   46       1.300999           2.060999
116   47       0.031000           0.954000
116   48       0.000000           0.087000
116   49       0.000000           0.001000
117   44       0.053000           0.003000
117   45       1.410999           0.163000
117   46       2.305998           1.178000
117   47       0.171000           1.419999
117   48       0.001000           0.212000
117   49       0.000000           0.002000
118   44       0.010000           0.000000
118   45       0.498000           0.036000
118   46       2.591998           0.647000
118   47       0.537000           1.324000
118   48       0.005000           0.432000
118   49       0.000000           0.020000
119   45       0.135000           0.003000
119   46       1.768999           0.183000
119   47       1.307999           0.936000
119   48       0.046000           0.572000
119   49       0.000000           0.050000
120   45       0.025000           0.002000
120   46       0.845999           0.050000
120   47       1.670999           0.467000
120   48       0.179000           0.665000
120   49       0.000000           0.084000
120   50       0.000000           0.003000
121   45       0.002000           0.000000
121   46       0.211000           0.007000
121   47       1.342999           0.210000
121   48       0.488000           0.431000
121   49       0.006000           0.143000
121   50       0.000000           0.006000
122   46       0.036000           0.004000
122   47       0.719000           0.044000
122   48       0.762999           0.261000
122   49       0.047000           0.157000
122   50       0.000000           0.026000
123   46       0.005000           0.000000
123   47       0.251000           0.016000
123   48       0.666000           0.098000
123   49       0.104000           0.112000
